"","ID","Name","Gear","Date","Month","monthNum","DOW","StartTime","Distance","Time","Speed.mph","Cad","Elevation.Gain","Avg.HR","Max.HR","Calories","RunType","weekNumber","Avg.Pace"
"105",728649118,"Recovery Run","Brooks Ghost Red/Black",2016-09-29,"Sep",9,"Thu","5:42",5,2017-03-29 00:40:20,3.0832,166.2,0,121,138,449,"Recovery Run",11,2017-03-29 00:08:04
"50",729670954,"ML Run","Brooks Ghost Red/Black",2016-09-30,"Sep",9,"Fri","5:04",15.01,2017-03-29 01:51:04,3.6245,170,550,142,157,1486,"Run",11,2017-03-29 00:07:24
"52",731113706,"GA Run","Hoka One One Clifton Reds",2016-10-01,"Oct",10,"Sat","12:51",10,2017-03-29 01:18:18,3.4269,177,392,129,146,915,"Run",11,2017-03-29 00:07:50
"53",732206487,"Long Run","Brooks Ghost Red/Black",2016-10-02,"Oct",10,"Sun","8:38",24,2017-03-29 02:55:35,3.6667,175,789,143,158,2129,"Long Run",11,2017-03-29 00:07:19
"102",732890621,"Recovery Run","ASICS dunno Black, Yellow, Red",2016-10-03,"Oct",10,"Mon","5:58",2,2017-03-29 00:16:09,3.3255,167.6,0,115,122,180,"Recovery Run",12,2017-03-29 00:08:04
"58",733914687,"VO2 Run","Hoka One One Clifton Reds",2016-10-04,"Oct",10,"Tue","5:39",10,2017-03-29 01:14:56,3.58,171,297,146,182,985,"Workout",12,2017-03-29 00:07:30
"61",735012881,"ML Run","Brooks Ghost Red/Black",2016-10-05,"Oct",10,"Wed","5:02",15.01,2017-03-29 01:55:48,3.4762,174.2,564,136,153,1380,"Run",12,2017-03-29 00:07:43
"104",736035543,"Recovery Run","Brooks Ghost Red/Black",2016-10-06,"Oct",10,"Thu","5:42",5.01,2017-03-29 00:41:14,3.1784,169.4,0,123,137,468,"Recovery Run",12,2017-03-29 00:08:14
"48",737515869,"Recovery Run","Brooks Ghost Red/Black",2016-10-07,"Oct",10,"Fri","16:53",6,2017-03-29 00:49:37,3.2463,173.6,229,137,150,652,"Recovery Run",12,2017-03-29 00:08:16
"119",738343078,"Tune-Up Run","Hoka One One Clifton Reds",2016-10-08,"Oct",10,"Sat","10:33",9.33,2017-03-29 01:00:53,4.1107,139,257,157,169,939,"Workout",12,2017-03-29 00:06:32
"54",739595884,"GA Run","Hoka One One Clifton Reds",2016-10-09,"Oct",10,"Sun","11:28",8.01,2017-03-29 00:58:10,3.6931,185.4,333,142,156,824,"Run",12,2017-03-29 00:07:16
"51",740843285,"Recovery Run","Brooks Ghost Red/Black",2016-10-10,"Oct",10,"Mon","16:59",5.01,2017-03-29 00:38:49,3.4588,180.4,218,135,148,524,"Recovery Run",13,2017-03-29 00:07:45
"57",741252629,"GA Run","Brooks Ghost Red/Black",2016-10-11,"Oct",10,"Tue","5:15",11,2017-03-29 01:21:55,3.603,183.8,392,142,153,1092,"Run",13,2017-03-29 00:07:27
"60",742277705,"ML Run","Hoka One One Clifton Reds",2016-10-12,"Oct",10,"Wed","5:07",15,2017-03-29 01:48:31,3.709,166,491,144,157,1476,"Run",13,2017-03-29 00:07:14
"71",743815589,"Recovery Run","Hoka One One Clifton Reds",2016-10-13,"Oct",10,"Thu","16:42",5.01,2017-03-29 00:39:55,3.3665,178,210,131,147,530,"Recovery Run",13,2017-03-29 00:07:58
"63",744238980,"LT Run","Brooks Ghost Red/Black",2016-10-14,"Oct",10,"Fri","6:37",12.01,2017-03-29 01:24:29,3.8114,150,500,149,164,1210,"Workout",13,2017-03-29 00:07:02
"120",745317488,"GA Run","Brooks Ghost Red/Black",2016-10-15,"Oct",10,"Sat","8:01",9.01,2017-03-29 01:09:27,3.4788,181.2,223,137,151,899,"Run",13,2017-03-29 00:07:43
"121",747254894,"Long Run","Brooks Ghost Red/Black",2016-10-16,"Oct",10,"Sun","7:57",21,2017-03-29 02:29:55,3.7581,178.8,296,142,158,1908,"Long Run",13,2017-03-29 00:07:08
"106",748008001,"Recovery Run","ASICS dunno Black, Yellow, Red",2016-10-17,"Oct",10,"Mon","17:49",1,2017-03-29 00:07:43,3.4875,172.6,0,117,127,88,"Recovery Run",14,2017-03-29 00:07:41
"73",748396540,"GA Run","Hoka One One Clifton Reds",2016-10-18,"Oct",10,"Tue","5:31",10,2017-03-29 01:15:52,3.5376,184.8,410,141,152,1027,"Run",14,2017-03-29 00:07:35
"75",749423177,"VO2 Run","Hoka One One Clifton Reds",2016-10-19,"Oct",10,"Wed","5:40",11.01,2017-03-29 01:20:58,3.6481,174.2,299,145,167,1155,"Workout",14,2017-03-29 00:07:21
"72",750939125,"Recovery Run","Brooks Ghost Red/Black",2016-10-20,"Oct",10,"Thu","16:53",6.01,2017-03-29 00:46:51,3.4378,180,238,135,151,626,"Recovery Run",14,2017-03-29 00:07:48
"64",751779730,"Recovery Run","Hoka One One Clifton Reds",2016-10-21,"Oct",10,"Fri","16:59",7,2017-03-29 00:56:00,3.3561,181,357,135,146,739,"Recovery Run",14,2017-03-29 00:08:00
"67",752514232,"MP Long Run","Hoka One One Clifton Reds",2016-10-22,"Oct",10,"Sat","8:55",20,2017-03-29 02:20:43,3.8132,136.6,705,143,157,1770,"Long Run",14,2017-03-29 00:07:02
"108",753826078,"Recovery Run","ASICS dunno Black, Yellow, Red",2016-10-23,"Oct",10,"Sun","13:08",1,2017-03-29 00:07:53,3.4066,179,NA,119,128,95,"Recovery Run",14,2017-03-29 00:07:52
"66",754432028,"GA Run","Brooks Ghost Red/Black",2016-10-24,"Oct",10,"Mon","6:12",6.01,2017-03-29 00:45:01,3.5801,173.6,251,139,150,658,"Run",15,2017-03-29 00:07:30
"74",755341427,"VO2 Run","Hoka One One Clifton Reds",2016-10-25,"Oct",10,"Tue","5:36",12,2017-03-29 01:26:25,3.7263,169.8,337,137,163,1228,"Workout",15,2017-03-29 00:07:12
"76",756348322,"ML Run","Hoka One One Clifton Reds",2016-10-26,"Oct",10,"Wed","5:15",15.01,2017-03-29 01:51:29,3.6119,168.4,521,140,154,1499,"Run",15,2017-03-29 00:07:26
"109",757866521,"Recovery Run","Brooks Ghost Red/Black",2016-10-27,"Oct",10,"Thu","17:08",5,2017-03-29 00:40:41,3.1899,172.8,0,116,142,418,"Recovery Run",15,2017-03-29 00:08:08
"65",758706850,"Tempo Run","Hoka One One Clifton Reds",2016-10-28,"Oct",10,"Fri","16:59",10.01,2017-03-29 01:10:32,3.8056,154.8,374,143,168,925,"Workout",15,2017-03-29 00:07:03
"68",759408079,"GA Run","Brooks Ghost Red/Black",2016-10-29,"Oct",10,"Sat","10:09",7,2017-03-29 00:52:25,3.5845,185.4,259,144,161,794,"Run",15,2017-03-29 00:07:29
"70",760801450,"Long Run","Hoka One One Clifton Reds",2016-10-30,"Oct",10,"Sun","9:13",22,2017-03-29 02:42:53,3.6235,169.6,778,140,155,2044,"Long Run",15,2017-03-29 00:07:24
"107",761959587,"Recovery Run","Brooks Ghost Red/Black",2016-10-31,"Oct",10,"Mon","16:41",4,2017-03-29 00:30:50,3.3852,179,NA,113,129,304,"Recovery Run",16,2017-03-29 00:07:42
"87",763081453,"VO2 Run","Hoka One One Clifton Reds",2016-11-01,"Nov",11,"Tue","16:27",10.01,2017-03-29 01:13:46,3.6389,177,332,144,170,965,"Workout",16,2017-03-29 00:07:22
"91",763499108,"ML Run","Brooks Ghost Red/Black",2016-11-02,"Nov",11,"Wed","5:11",14.01,2017-03-29 01:46:49,3.5171,167.8,539,143,192,1312,"Run",16,2017-03-29 00:07:38
"86",765065923,"Recovery Run","Hoka One One Clifton Reds",2016-11-03,"Nov",11,"Thu","16:55",6.52,2017-03-29 00:50:54,3.4355,167,224,136,149,672,"Recovery Run",16,2017-03-29 00:07:49
"79",765973548,"Recovery Run","Hoka One One Clifton Reds",2016-11-04,"Nov",11,"Fri","18:03",6.51,2017-03-29 00:51:08,3.4132,173.6,289,138,173,679,"Recovery Run",16,2017-03-29 00:07:52
