,ID,Name,Gear,Date,Month,monthNum,DOW,StartTime,Distance,Time,Speed.mph,Cad,Elevation.Gain,Avg.HR,Max.HR,Calories,RunType,weekNumber,Avg.Pace,morningNightBucket
74,755341427,VO2 Run,Hoka One One Clifton Reds,10/25/2016,Oct,10,Tue,4/7/2017 5:36,12,4/7/2017 1:26,3.7263,169.8,337,137,163,1228,Workout,15,4/7/2017 0:07,Sunrise
76,756348322,ML Run,Hoka One One Clifton Reds,10/26/2016,Oct,10,Wed,4/7/2017 5:15,15.01,4/7/2017 1:51,3.6119,168.4,521,140,154,1499,Run,15,4/7/2017 0:07,Sunrise
109,757866521,Recovery Run,Brooks Ghost Red/Black,10/27/2016,Oct,10,Thu,4/7/2017 17:08,5,4/7/2017 0:40,3.1899,172.8,0,116,142,418,Recovery Run,15,4/7/2017 0:08,Evening
65,758706850,Tempo Run,Hoka One One Clifton Reds,10/28/2016,Oct,10,Fri,4/7/2017 16:59,10.01,4/7/2017 1:10,3.8056,154.8,374,143,168,925,Workout,15,4/7/2017 0:07,Evening
68,759408079,GA Run,Brooks Ghost Red/Black,10/29/2016,Oct,10,Sat,4/7/2017 10:09,7,4/7/2017 0:52,3.5845,185.4,259,144,161,794,Run,15,4/7/2017 0:07,Morning
70,760801450,Long Run,Hoka One One Clifton Reds,10/30/2016,Oct,10,Sun,4/7/2017 9:13,22,4/7/2017 2:42,3.6235,169.6,778,140,155,2044,Long Run,15,4/7/2017 0:07,Morning
107,761959587,Recovery Run,Brooks Ghost Red/Black,10/31/2016,Oct,10,Mon,4/7/2017 16:41,4,4/7/2017 0:30,3.3852,179,NA,113,129,304,Recovery Run,16,4/7/2017 0:07,Evening
87,763081453,VO2 Run,Hoka One One Clifton Reds,11/1/2016,Nov,11,Tue,4/7/2017 16:27,10.01,4/7/2017 1:13,3.6389,177,332,144,170,965,Workout,16,4/7/2017 0:07,Evening
91,763499108,ML Run,Brooks Ghost Red/Black,11/2/2016,Nov,11,Wed,4/7/2017 5:11,14.01,4/7/2017 1:46,3.5171,167.8,539,143,192,1312,Run,16,4/7/2017 0:07,Sunrise
86,765065923,Recovery Run,Hoka One One Clifton Reds,11/3/2016,Nov,11,Thu,4/7/2017 16:55,6.52,4/7/2017 0:50,3.4355,167,224,136,149,672,Recovery Run,16,4/7/2017 0:07,Evening
79,765973548,Recovery Run,Hoka One One Clifton Reds,11/4/2016,Nov,11,Fri,4/7/2017 18:03,6.51,4/7/2017 0:51,3.4132,173.6,289,138,173,679,Recovery Run,16,4/7/2017 0:07,Evening
82,767952709,10k Tune Up Run,"ASICS dunno Black, Yellow, Red",11/5/2016,Nov,11,Sat,4/7/2017 10:19,9.01,4/7/2017 1:02,3.8885,187.6,143,150,189,927,Workout,16,4/7/2017 0:06,Morning
84,767953656,Long Run,Hoka One One Clifton Reds,11/6/2016,Nov,11,Sun,4/7/2017 10:01,17.01,4/7/2017 1:59,3.8296,150.6,618,149,199,1607,Long Run,16,4/7/2017 0:07,Morning
111,769129792,Recovery Run,Brooks Ghost Red/Black,11/7/2016,Nov,11,Mon,4/7/2017 16:56,4.01,4/7/2017 0:30,3.06,176.4,NA,122,139,319,Recovery Run,17,4/7/2017 0:07,Evening
89,770096239,GA Run,Brooks Ghost Red/Black,11/8/2016,Nov,11,Tue,4/7/2017 16:48,7,4/7/2017 0:52,3.5924,169.4,307,140,154,742,Run,17,4/7/2017 0:07,Evening
92,770952070,Recovery Run,Brooks Ghost Red/Black,11/9/2016,Nov,11,Wed,4/7/2017 16:32,6.01,4/7/2017 0:45,3.5395,175.4,241,135,160,653,Recovery Run,17,4/7/2017 0:07,Evening
112,772172120,Recovery Run,Hoka One One Clifton Reds,11/10/2016,Nov,11,Thu,4/7/2017 17:15,5,4/7/2017 0:37,2.7808,176.8,NA,121,138,376,Recovery Run,17,4/7/2017 0:07,Evening
77,772172603,VO2 Run,Hoka One One Clifton Reds,11/11/2016,Nov,11,Fri,4/7/2017 5:55,8.01,4/7/2017 0:57,3.7486,186.4,280,148,167,852,Workout,17,4/7/2017 0:07,Sunrise
80,773462012,GA Run,Saucony Fastwitch Reds,11/12/2016,Nov,11,Sat,4/7/2017 12:47,7,4/7/2017 0:49,3.7643,185,254,144,154,736,Run,17,4/7/2017 0:07,Afternoon
83,774553806,ML Run,Brooks Ghost Red/Black,11/13/2016,Nov,11,Sun,4/7/2017 10:42,12,4/7/2017 1:24,3.798,187.2,467,145,158,1246,Run,17,4/7/2017 0:07,Morning
110,775641778,Recovery Run,Brooks Ghost Red/Black,11/14/2016,Nov,11,Mon,4/7/2017 17:11,2.06,4/7/2017 0:16,3.1705,171.2,NA,70,118,64,Recovery Run,18,4/7/2017 0:07,Evening
88,776017804,GA Run,Saucony Fastwitch Reds,11/15/2016,Nov,11,Tue,4/7/2017 5:55,8,4/7/2017 0:58,3.6864,187,334,145,162,853,Run,18,4/7/2017 0:07,Sunrise
90,777267101,Recovery Run,Hoka One One Clifton Reds,11/16/2016,Nov,11,Wed,4/7/2017 12:07,5.01,4/7/2017 0:38,3.4613,180.4,140,135,164,536,Recovery Run,18,4/7/2017 0:07,Afternoon
85,777917114,GA Run,Hoka One One Clifton Reds,11/17/2016,Nov,11,Thu,4/7/2017 6:01,7,4/7/2017 0:50,3.7048,185.6,276,145,195,762,Run,18,4/7/2017 0:07,Sunrise
78,779226144,Recovery Run,Hoka One One Clifton Reds,11/18/2016,Nov,11,Fri,4/7/2017 17:22,5,4/7/2017 0:42,3.182,174.6,238,133,148,554,Recovery Run,18,4/7/2017 0:08,Evening
81,780934297,Recovery Run,Hoka One One Clifton Reds,11/19/2016,Nov,11,Sat,4/7/2017 16:48,3,4/7/2017 0:25,3.1894,175.2,145,124,144,329,Recovery Run,18,4/7/2017 0:08,Evening
122,780935487,Oh My God So Freakin Windy Philly Marathon,Saucony Fastwitch Reds,11/20/2016,Nov,11,Sun,4/7/2017 7:00,26.27,4/7/2017 3:07,3.8383,186.2,529,151,200,2113,Race,19,4/7/2017 0:07,Morning
