Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Cadence,Max Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GCT Balance,Avg Cadence,Max Cadence,Normalized Power® (NP®),L/R Balance,Training Stress Score®,Max Avg Power (20 min),Power,Max Power,Total Strokes,Avg. Swolf,Avg Stroke Rate,Max Depth,Bottom Time,Min Water Temp,Gas Type,Surface Interval,Weight,Current,Surface Conditions,Decompression,Water Type
running,9/17/2016 8:49,FALSE,Chalfont Running,10,"1,021",1:17:11,147,158,0,176,193,7:43,6:10,396,386,1.18,0,0,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0:00,0,--,0:00,--,--,--,No,--
running,9/16/2016 5:14,FALSE,Chalfont Running,14,"1,403",1:46:04,148,160,0,171,193,7:34,6:11,502,456,1.25,0,0,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0:00,0,--,0:00,--,--,--,No,--
running,9/15/2016 5:15,FALSE,Chalfont Running,6.01,647,50:14:00,135,146,0,176,189,8:22,7:33,232,192,1.09,0,0,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0:00,0,--,0:00,--,--,--,No,--
running,9/14/2016 5:28,FALSE,Chalfont Running,11,"1,082",1:25:45,139,178,0,181,198,7:48,6:18,425,362,1.14,0,0,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0:00,0,--,0:00,--,--,--,No,--
running,9/13/2016 5:11,FALSE,Chalfont Running,15.01,"1,494",1:53:44,143,156,0,165,195,7:35,5:46,522,498,1.29,0,0,--,--,82,--,--,--,0,--,--,--,--,--,--,--,0:00,0,--,0:00,--,--,--,No,--
running,9/12/2016 6:37,FALSE,Running,3,294,25:16:00,118,124,0,169,175,8:25,7:44,--,--,1.13,0,0,--,--,84,--,--,--,0,--,--,--,--,--,--,--,0:00,0,--,0:00,--,--,--,No,--
running,9/11/2016 8:23,FALSE,Chalfont Running,22,"1,944",2:46:01,144,160,0,176,202,7:33,3:16,820,774,1.21,0,0,--,--,87,--,--,--,0,--,--,--,--,--,--,--,0:00,0,--,0:00,--,--,--,No,--
running,9/10/2016 8:12,FALSE,Chalfont Running,10.01,"1,085",1:21:27,147,157,0,174,190,8:08,6:27,417,387,1.14,0,0,--,--,86,--,--,--,0,--,--,--,--,--,--,--,0:00,0,--,0:00,--,--,--,No,--
running,9/9/2016 5:32,FALSE,Chalfont Running,12.01,"1,263",1:28:05,150,168,0,144,195,7:20,5:23,488,468,1.53,0,0,--,--,71,--,--,--,0,--,--,--,--,--,--,--,0:00,0,--,0:00,--,--,--,No,--
running,9/8/2016 5:22,FALSE,Chalfont Running,6,656,51:07:00,134,145,0,174,185,8:31,7:18,251,226,1.09,0,0,--,--,86,--,--,--,0,--,--,--,--,--,--,--,0:00,0,--,0:00,--,--,--,No,--
running,9/7/2016 5:28,FALSE,Chalfont Running,11,"1,149",1:24:17,145,163,0,175,204,7:40,4:47,444,393,1.2,0,0,--,--,87,--,--,--,0,--,--,--,--,--,--,--,0:00,0,--,0:00,--,--,--,No,--
running,9/6/2016 5:17,FALSE,Chalfont Running,15.01,"1,499",1:53:30,143,157,0,180,201,7:34,5:38,524,471,1.18,0,0,--,--,89,--,--,--,0,--,--,--,--,--,--,--,0:00,0,--,0:00,--,--,--,No,--
running,9/4/2016 8:26,FALSE,Chalfont Running,20,"1,899",2:29:22,144,160,0,170,202,7:28,5:22,757,715,1.27,0,0,--,--,84,--,--,--,0,--,--,--,--,--,--,--,0:00,0,--,0:00,--,--,--,No,--
running,9/3/2016 8:49,FALSE,Chalfont Running,10,"1,055",1:17:14,144,159,0,181,237,7:43,5:54,373,333,1.15,0,0,--,--,90,--,--,--,0,--,--,--,--,--,--,--,0:00,0,--,0:00,--,--,--,No,--
running,9/2/2016 17:07,FALSE,Chalfont Running,13.01,"1,344",1:39:27,147,159,0,176,197,7:39,5:19,499,479,1.2,0,0,--,--,87,--,--,--,0,--,--,--,--,--,--,--,0:00,0,--,0:00,--,--,--,No,--
running,9/1/2016 5:50,FALSE,Running,0.16,227,36:23:00,101,114,0,8,119,--,13:34,--,--,0.89,0,0,--,--,3,--,--,--,0,--,--,--,--,--,--,--,0:00,0,--,0:00,--,--,--,No,--
running,8/31/2016 5:22,FALSE,Chalfont Running,15,"1,587",1:56:36,145,157,0,174,211,7:46,5:12,497,473,1.19,0,0,--,--,86,--,--,--,0,--,--,--,--,--,--,--,0:00,0,--,0:00,--,--,--,No,--
running,8/30/2016 5:39,FALSE,Chalfont Running,11,"1,090",1:18:07,149,166,0,155,222,7:06,5:09,452,401,1.46,0,0,--,--,77,--,--,--,0,--,--,--,--,--,--,--,0:00,0,--,0:00,--,--,--,No,--
running,8/29/2016 5:30,FALSE,Chalfont Running,4,416,33:33:00,126,136,0,172,185,8:23,7:17,151,127,1.12,0,0,--,--,85,--,--,--,0,--,--,--,--,--,--,--,0:00,0,--,0:00,--,--,--,No,--
running,8/28/2016 10:11,FALSE,Chalfont Running,13,"1,322",1:44:47,141,154,0,175,193,8:04,5:28,517,494,1.14,0,0,--,--,87,--,--,--,0,--,--,--,--,--,--,--,0:00,0,--,0:00,--,--,--,No,--
running,8/27/2016 12:06,FALSE,Running,0.12,389,59:00:00,109,123,0,3,118,--,13:34,--,--,0.93,0,0,--,--,1,--,--,--,0,--,--,--,--,--,--,--,0:00,0,--,0:00,--,--,--,No,--
running,8/26/2016 5:47,FALSE,Chalfont Running,12,"1,389",1:32:36,122,158,0,172,194,7:43,5:45,467,444,1.22,0,0,--,--,85,--,--,--,0,--,--,--,--,--,--,--,0:00,0,--,0:00,--,--,--,No,--
running,8/25/2016 5:34,FALSE,Chalfont Running,5.01,506,41:31:00,130,141,0,173,185,8:17,7:08,168,144,1.12,0,0,--,--,86,--,--,--,0,--,--,--,--,--,--,--,0:00,0,--,0:00,--,--,--,No,--
running,8/24/2016 5:41,FALSE,Chalfont Running,13,"1,450",1:39:32,141,156,0,174,197,7:39,5:40,498,474,1.21,0,0,--,--,86,--,--,--,0,--,--,--,--,--,--,--,0:00,0,--,0:00,--,--,--,No,--
running,8/23/2016 5:25,FALSE,Chalfont Running,10.01,"1,086",1:14:18,139,157,0,174,193,7:26,6:07,377,353,1.25,0,0,--,--,86,--,--,--,0,--,--,--,--,--,--,--,0:00,0,--,0:00,--,--,--,No,--
running,8/22/2016 5:38,FALSE,Running,3,191,24:32:00,100,136,0,171,187,8:10,7:19,--,--,1.15,0,0,--,--,85,--,--,--,0,--,--,--,--,--,--,--,0:00,0,--,0:00,--,--,--,No,--
running,8/21/2016 8:34,FALSE,Chalfont Running,20,"2,104",2:29:54,148,163,0,166,197,7:30,5:30,724,702,1.3,0,0,--,--,82,--,--,--,0,--,--,--,--,--,--,--,0:00,0,--,0:00,--,--,--,No,--
running,8/20/2016 9:21,FALSE,Chalfont Running,6,661,46:45:00,138,153,0,174,191,7:47,6:13,266,198,1.19,0,0,--,--,87,--,--,--,0,--,--,--,--,--,--,--,0:00,0,--,0:00,--,--,--,No,--
running,8/19/2016 5:24,FALSE,Chalfont Running,14.01,"1,368",1:45:43,142,157,0,178,197,7:33,5:59,583,554,1.2,0,0,--,--,89,--,--,--,0,--,--,--,--,--,--,--,0:00,0,--,0:00,--,--,--,No,--
