"","ID","Name","Gear","Date","Month","monthNum","DOW","StartTime","Distance","Time","Avg.Speed.Avg.Pace.","Speed.mph","Cad","Elevation.Gain","Avg.HR","Max.HR","Calories","RunType"
"55",724673407,"Long Run","Hoka One One Clifton Reds",2016-09-25,"Sep","Sep","Sun","8:59",18,"2:10:33","7:15",3.6992,85.5,"660","146","160","1,683","Long Run"
"103",725545972,"Recovery Run","ASICS dunno Black, Yellow, Red",2016-09-26,"Sep","Sep","Mon","6:33",4,"32:11:00","8:02",3.3364,84.1,"--","113","122","347","Recovery Run"
"59",726493622,"GA Run","Brooks Ghost Red/Black",2016-09-27,"Sep","Sep","Tue","5:27",11.01,"1:25:16","7:45",3.4628,88.9,"468","139","154","1,050","Run"
"62",727632740,"LT Intervals Run","Brooks Ghost Red/Black",2016-09-28,"Sep","Sep","Wed","5:28",12.01,"1:24:21","7:01",3.8194,73.9,"476","148","162","1,104","Workout"
"105",728649118,"Recovery Run","Brooks Ghost Red/Black",2016-09-29,"Sep","Sep","Thu","5:42",5,"40:20:00","8:04",3.0832,83.1,"0","121","138","449","Recovery Run"
"50",729670954,"ML Run","Brooks Ghost Red/Black",2016-09-30,"Sep","Sep","Fri","5:04",15.01,"1:51:04","7:24",3.6245,85,"550","142","157","1,486","Run"
"52",731113706,"GA Run","Hoka One One Clifton Reds",2016-10-01,"Oct","Oct","Sat","12:51",10,"1:18:18","7:50",3.4269,88.5,"392","129","146","915","Run"
"53",732206487,"Long Run","Brooks Ghost Red/Black",2016-10-02,"Oct","Oct","Sun","8:38",24,"2:55:35","7:19",3.6667,87.5,"789","143","158","2,129","Long Run"
"102",732890621,"Recovery Run","ASICS dunno Black, Yellow, Red",2016-10-03,"Oct","Oct","Mon","5:58",2,"16:09","8:04",3.3255,83.8,"0","115","122","180","Recovery Run"
"58",733914687,"VO2 Run","Hoka One One Clifton Reds",2016-10-04,"Oct","Oct","Tue","5:39",10,"1:14:56","7:30",3.58,85.5,"297","146","182","985","Workout"
"61",735012881,"ML Run","Brooks Ghost Red/Black",2016-10-05,"Oct","Oct","Wed","5:02",15.01,"1:55:48","7:43",3.4762,87.1,"564","136","153","1,380","Run"
"104",736035543,"Recovery Run","Brooks Ghost Red/Black",2016-10-06,"Oct","Oct","Thu","5:42",5.01,"41:14:00","8:14",3.1784,84.7,"0","123","137","468","Recovery Run"
"48",737515869,"Recovery Run","Brooks Ghost Red/Black",2016-10-07,"Oct","Oct","Fri","16:53",6,"49:37:00","8:16",3.2463,86.8,"229","137","150","652","Recovery Run"
"119",738343078,"Tune-Up Run","Hoka One One Clifton Reds",2016-10-08,"Oct","Oct","Sat","10:33",9.33,"1:00:53","6:32",4.1107,69.5,"257","157","169","939","Workout"
"54",739595884,"GA Run","Hoka One One Clifton Reds",2016-10-09,"Oct","Oct","Sun","11:28",8.01,"58:10:00","7:16",3.6931,92.7,"333","142","156","824","Run"
"51",740843285,"Recovery Run","Brooks Ghost Red/Black",2016-10-10,"Oct","Oct","Mon","16:59",5.01,"38:49:00","7:45",3.4588,90.2,"218","135","148","524","Recovery Run"
"57",741252629,"GA Run","Brooks Ghost Red/Black",2016-10-11,"Oct","Oct","Tue","5:15",11,"1:21:55","7:27",3.603,91.9,"392","142","153","1,092","Run"
"60",742277705,"ML Run","Hoka One One Clifton Reds",2016-10-12,"Oct","Oct","Wed","5:07",15,"1:48:31","7:14",3.709,83,"491","144","157","1,476","Run"
"71",743815589,"Recovery Run","Hoka One One Clifton Reds",2016-10-13,"Oct","Oct","Thu","16:42",5.01,"39:55:00","7:58",3.3665,89,"210","131","147","530","Recovery Run"
"63",744238980,"LT Run","Brooks Ghost Red/Black",2016-10-14,"Oct","Oct","Fri","6:37",12.01,"1:24:29","7:02",3.8114,75,"500","149","164","1,210","Workout"
"120",745317488,"GA Run","Brooks Ghost Red/Black",2016-10-15,"Oct","Oct","Sat","8:01",9.01,"1:09:27","7:43",3.4788,90.6,"223","137","151","899","Run"
"121",747254894,"Long Run","Brooks Ghost Red/Black",2016-10-16,"Oct","Oct","Sun","7:57",21,"2:29:55","7:08",3.7581,89.4,"296","142","158","1,908","Long Run"
"106",748008001,"Recovery Run","ASICS dunno Black, Yellow, Red",2016-10-17,"Oct","Oct","Mon","17:49",1,"7:43","7:41",3.4875,86.3,"0","117","127","88","Recovery Run"
"73",748396540,"GA Run","Hoka One One Clifton Reds",2016-10-18,"Oct","Oct","Tue","5:31",10,"1:15:52","7:35",3.5376,92.4,"410","141","152","1,027","Run"
"75",749423177,"VO2 Run","Hoka One One Clifton Reds",2016-10-19,"Oct","Oct","Wed","5:40",11.01,"1:20:58","7:21",3.6481,87.1,"299","145","167","1,155","Workout"
"72",750939125,"Recovery Run","Brooks Ghost Red/Black",2016-10-20,"Oct","Oct","Thu","16:53",6.01,"46:51:00","7:48",3.4378,90,"238","135","151","626","Recovery Run"
"64",751779730,"Recovery Run","Hoka One One Clifton Reds",2016-10-21,"Oct","Oct","Fri","16:59",7,"56:00:00","8:00",3.3561,90.5,"357","135","146","739","Recovery Run"
"67",752514232,"MP Long Run","Hoka One One Clifton Reds",2016-10-22,"Oct","Oct","Sat","8:55",20,"2:20:43","7:02",3.8132,68.3,"705","143","157","1,770","Long Run"
"108",753826078,"Recovery Run","ASICS dunno Black, Yellow, Red",2016-10-23,"Oct","Oct","Sun","13:08",1,"7:53","7:52",3.4066,89.5,"--","119","128","95","Recovery Run"
"66",754432028,"GA Run","Brooks Ghost Red/Black",2016-10-24,"Oct","Oct","Mon","6:12",6.01,"45:01:00","7:30",3.5801,86.8,"251","139","150","658","Run"
"74",755341427,"VO2 Run","Hoka One One Clifton Reds",2016-10-25,"Oct","Oct","Tue","5:36",12,"1:26:25","7:12",3.7263,84.9,"337","137","163","1,228","Workout"
"76",756348322,"ML Run","Hoka One One Clifton Reds",2016-10-26,"Oct","Oct","Wed","5:15",15.01,"1:51:29","7:26",3.6119,84.2,"521","140","154","1,499","Run"
"109",757866521,"Recovery Run","Brooks Ghost Red/Black",2016-10-27,"Oct","Oct","Thu","17:08",5,"40:41:00","8:08",3.1899,86.4,"0","116","142","418","Recovery Run"
"65",758706850,"Tempo Run","Hoka One One Clifton Reds",2016-10-28,"Oct","Oct","Fri","16:59",10.01,"1:10:32","7:03",3.8056,77.4,"374","143","168","925","Workout"
"68",759408079,"GA Run","Brooks Ghost Red/Black",2016-10-29,"Oct","Oct","Sat","10:09",7,"52:25:00","7:29",3.5845,92.7,"259","144","161","794","Run"
"70",760801450,"Long Run","Hoka One One Clifton Reds",2016-10-30,"Oct","Oct","Sun","9:13",22,"2:42:53","7:24",3.6235,84.8,"778","140","155","2,044","Long Run"
"107",761959587,"Recovery Run","Brooks Ghost Red/Black",2016-10-31,"Oct","Oct","Mon","16:41",4,"30:50:00","7:42",3.3852,89.5,"--","113","129","304","Recovery Run"
"87",763081453,"VO2 Run","Hoka One One Clifton Reds",2016-11-01,"Nov","Nov","Tue","16:27",10.01,"1:13:46","7:22",3.6389,88.5,"332","144","170","965","Workout"
"91",763499108,"ML Run","Brooks Ghost Red/Black",2016-11-02,"Nov","Nov","Wed","5:11",14.01,"1:46:49","7:38",3.5171,83.9,"539","143","192","1,312","Run"
"86",765065923,"Recovery Run","Hoka One One Clifton Reds",2016-11-03,"Nov","Nov","Thu","16:55",6.52,"50:54:00","7:49",3.4355,83.5,"224","136","149","672","Recovery Run"
"79",765973548,"Recovery Run","Hoka One One Clifton Reds",2016-11-04,"Nov","Nov","Fri","18:03",6.51,"51:08:00","7:52",3.4132,86.8,"289","138","173","679","Recovery Run"
"82",767952709,"10k Tune Up Run","ASICS dunno Black, Yellow, Red",2016-11-05,"Nov","Nov","Sat","10:19",9.01,"1:02:08","6:54",3.8885,93.8,"143","150","189","927","Workout"
"84",767953656,"Long Run","Hoka One One Clifton Reds",2016-11-06,"Nov","Nov","Sun","10:01",17.01,"1:59:07","7:00",3.8296,75.3,"618","149","199","1,607","Long Run"
"111",769129792,"Recovery Run","Brooks Ghost Red/Black",2016-11-07,"Nov","Nov","Mon","16:56",4.01,"30:41:00","7:40",3.06,88.2,"--","122","139","319","Recovery Run"
"89",770096239,"GA Run","Brooks Ghost Red/Black",2016-11-08,"Nov","Nov","Tue","16:48",7,"52:18:00","7:28",3.5924,84.7,"307","140","154","742","Run"
"92",770952070,"Recovery Run","Brooks Ghost Red/Black",2016-11-09,"Nov","Nov","Wed","16:32",6.01,"45:30:00","7:35",3.5395,87.7,"241","135","160","653","Recovery Run"
"112",772172120,"Recovery Run","Hoka One One Clifton Reds",2016-11-10,"Nov","Nov","Thu","17:15",5,"37:11:00","7:26",2.7808,88.4,"--","121","138","376","Recovery Run"
