"","Name","Marathon","Date","Month","Week","Day","Weekday","RunCat","RunType","WorkoutType","StartTime","Time","Distance","Avg.HR","Max.HR","Avg.Cadence","Max.Cadence","Avg.Pace","Best.Pace","Elev.Gain","Elev.Loss","Avg.Stride.Length"
"52","GA Run","ph16",2016-09-17,"Sep",10,17,"Saturday","GA","Run","NA",2017-12-30 08:49:00,2017-12-30 01:17:11,10,147,158,176,193,2017-12-30 00:07:43,2017-12-30 00:06:10,396,386,1.18
"53","Long Run","ph16",2016-09-18,"Sep",10,18,"Sunday","Long","Long","NA",2017-12-30 09:12:00,2017-12-30 02:28:14,20.01,145,162,160,227,2017-12-30 00:07:25,2017-12-30 00:05:04,763,739,1.36
"54","Recovery Run","ph16",2016-09-19,"Sep",10,19,"Monday","Recovery","Recovery","NA",2017-12-30 06:33:00,2017-12-30 00:33:49,4.01,119,128,170,181,2017-12-30 00:08:26,2017-12-30 00:07:32,NA,NA,1.12
"55","GA Run","ph16",2016-09-20,"Sep",10,20,"Tuesday","GA","Run","NA",2017-12-30 05:32:00,2017-12-30 01:25:22,11.01,142,154,179,203,2017-12-30 00:07:45,2017-12-30 00:05:21,439,387,1.16
"56","VO2 Run","ph16",2016-09-21,"Sep",10,21,"Wednesday","Workout","Workout","vO2 Max",2017-12-30 05:31:00,2017-12-30 01:23:42,11,143,163,168,207,2017-12-30 00:07:37,2017-12-30 00:04:57,381,370,1.26
"57","Recovery Run","ph16",2016-09-22,"Sep",10,22,"Thursday","Recovery","Recovery","NA",2017-12-30 05:25:00,2017-12-30 00:50:08,6.01,133,145,175,188,2017-12-30 00:08:20,2017-12-30 00:06:30,238,194,1.11
"58","Middle Long Run","ph16",2016-09-23,"Sep",11,23,"Friday","ML","Run","NA",2017-12-30 05:15:00,2017-12-30 01:37:17,13.01,146,160,169,204,2017-12-30 00:07:29,2017-12-30 00:05:00,531,479,1.27
"59","Long Run","ph16",2016-09-25,"Sep",11,25,"Sunday","Long","Long","NA",2017-12-30 08:59:00,2017-12-30 02:10:33,18,146,160,169,197,2017-12-30 00:07:15,2017-12-30 00:05:30,660,635,1.31
"60","Recovery Run","ph16",2016-09-26,"Sep",11,26,"Monday","Recovery","Recovery","NA",2017-12-30 06:33:00,2017-12-30 00:32:11,4,113,122,168,175,2017-12-30 00:08:02,2017-12-30 00:07:22,NA,NA,1.19
"61","GA Run","ph16",2016-09-27,"Sep",11,27,"Tuesday","GA","Run","NA",2017-12-30 05:27:00,2017-12-30 01:25:16,11.01,139,154,177,195,2017-12-30 00:07:45,2017-12-30 00:05:22,468,415,1.17
"62","LT Intervals Run","ph16",2016-09-28,"Sep",11,28,"Wednesday","Workout","Workout","Tempo",2017-12-30 05:28:00,2017-12-30 01:24:21,12.01,148,162,147,205,2017-12-30 00:07:01,2017-12-30 00:05:18,476,430,1.56
"63","Recovery Run","ph16",2016-09-29,"Sep",11,29,"Thursday","Recovery","Recovery","NA",2017-12-30 05:42:00,2017-12-30 00:40:20,5,121,138,168,185,2017-12-30 00:08:04,2017-12-30 00:07:01,NA,NA,1.19
"64","Middle Long Run","ph16",2016-09-30,"Sep",12,30,"Friday","ML","Long","NA",2017-12-30 05:04:00,2017-12-30 01:51:04,15.01,142,157,169,195,2017-12-30 00:07:24,2017-12-30 00:05:29,550,490,1.29
"65","GA Run","ph16",2016-10-01,"Oct",12,1,"Saturday","GA","Run","NA",2017-12-30 12:51:00,2017-12-30 01:18:18,10,129,146,176,202,2017-12-30 00:07:50,2017-12-30 00:06:02,392,378,1.17
"66","Long Run","ph16",2016-10-02,"Oct",12,2,"Sunday","Long","Long","NA",2017-12-30 08:38:00,2017-12-30 02:55:35,24,143,158,172,208,2017-12-30 00:07:19,2017-12-30 00:05:30,789,728,1.28
"67","Recovery Run","ph16",2016-10-03,"Oct",12,3,"Monday","Recovery","Recovery","NA",2017-12-30 05:58:00,2017-12-30 00:16:09,2,115,122,168,175,2017-12-30 00:08:04,2017-12-30 00:07:29,NA,NA,1.19
"68","VO2 Run","ph16",2016-10-04,"Oct",12,4,"Tuesday","Workout","Workout","vO2 Max",2017-12-30 05:39:00,2017-12-30 01:14:56,10,146,182,171,211,2017-12-30 00:07:30,2017-12-30 00:04:52,297,278,1.26
"69","Middle Long Run","ph16",2016-10-05,"Oct",12,5,"Wednesday","ML","Long","NA",2017-12-30 05:02:00,2017-12-30 01:55:48,15.01,136,153,173,193,2017-12-30 00:07:43,2017-12-30 00:06:22,564,536,1.21
"70","Recovery Run","ph16",2016-10-06,"Oct",12,6,"Thursday","Recovery","Recovery","NA",2017-12-30 05:42:00,2017-12-30 00:41:14,5.01,123,137,171,187,2017-12-30 00:08:14,2017-12-30 00:07:27,NA,NA,1.14
"71","Recovery Run","ph16",2016-10-07,"Oct",13,7,"Friday","Recovery","Recovery","NA",2017-12-30 16:53:00,2017-12-30 00:49:37,6,137,150,174,190,2017-12-30 00:08:16,2017-12-30 00:06:34,229,184,1.12
"72","Tune-Up Run","ph16",2016-10-08,"Oct",13,8,"Saturday","Workout","Workout","Tune Up Race",2017-12-30 10:33:00,2017-12-30 01:00:53,9.33,157,169,136,241,2017-12-30 00:06:32,2017-12-30 00:05:06,257,255,1.81
"73","GA Run","ph16",2016-10-09,"Oct",13,9,"Sunday","GA","Run","NA",2017-12-30 11:28:00,2017-12-30 00:58:10,8.01,142,156,185,202,2017-12-30 00:07:16,2017-12-30 00:05:47,333,275,1.2
"74","Recovery Run","ph16",2016-10-10,"Oct",13,10,"Monday","Recovery","Recovery","NA",2017-12-30 16:59:00,2017-12-30 00:38:49,5.01,135,148,180,216,2017-12-30 00:07:45,2017-12-30 00:05:43,218,195,1.15
"75","GA Run","ph16",2016-10-11,"Oct",13,11,"Tuesday","GA","Run","NA",2017-12-30 05:15:00,2017-12-30 01:21:55,11,142,153,183,211,2017-12-30 00:07:27,2017-12-30 00:04:51,392,364,1.18
"76","Middle Long Run","ph16",2016-10-12,"Oct",13,12,"Wednesday","ML","Run","NA",2017-12-30 05:07:00,2017-12-30 01:48:31,15,144,157,165,204,2017-12-30 00:07:14,2017-12-30 00:05:27,491,478,1.35
"77","Recovery Run","ph16",2016-10-13,"Oct",13,13,"Thursday","Recovery","Recovery","NA",2017-12-30 16:42:00,2017-12-30 00:39:55,5.01,131,147,178,204,2017-12-30 00:07:58,2017-12-30 00:05:05,210,184,1.14
"78","LT Run","ph16",2016-10-14,"Oct",14,14,"Friday","Workout","Workout","Tempo",2017-12-30 06:37:00,2017-12-30 01:24:29,12.01,149,164,149,211,2017-12-30 00:07:02,2017-12-30 00:05:01,500,479,1.54
"79","GA Run","ph16",2016-10-15,"Oct",14,15,"Saturday","GA","Run","NA",2017-12-30 08:01:00,2017-12-30 01:09:27,9.01,137,151,178,211,2017-12-30 00:07:43,2017-12-30 00:03:40,223,221,1.17
"80","Long Run","ph16",2016-10-16,"Oct",14,16,"Sunday","Long","Long","NA",2017-12-30 07:57:00,2017-12-30 02:29:55,21,142,158,177,233,2017-12-30 00:07:08,2017-12-30 00:03:46,296,290,1.27
